naam,calorieen,eiwitten,koolhydraten,vetten,vezels,gewicht_per_stuk,ml_per_portie,standaard_eenheid
Bami goreng z ei,168.0,6.6,26.3,3.7,1.4,60.0,0.0,
Nasi goreng m ei,144.0,4.4,22.4,3.9,0.9,60.0,0.0,
Tjap tjoi z rijst,61.0,3.9,3.2,3.4,0.9,0.0,0.0,
Foe yong hai z rijst,96.0,4.8,4.6,6.2,1.3,0.0,0.0,
Oliebol gevuld m krenten en rozijnen,256.0,6.0,37.1,8.8,2.2,0.0,0.0,
Lever kippen-,128.0,19.1,1.0,5.4,0.0,0.0,0.0,
Melk karne- m vruchten,51.0,3.3,8.2,0.5,0.0,0.0,200.0,glas
Biscuit fourre omhuld m chocolade,500.0,5.4,67.7,22.6,1.9,150.0,0.0,stuk
Koek Bastogne,493.0,4.9,72.2,20.1,1.9,0.0,0.0,
Spekkie,334.0,4.1,78.3,0.4,0.3,0.0,0.0,
Spread fruit- minder suiker,118.0,0.5,27.7,0.2,1.7,150.0,0.0,stuk
IJs room/vanille- cornet m chocola en nootjes,302.0,3.9,38.9,14.3,0.9,0.0,0.0,
Vlaai vruchten-,228.0,2.9,41.6,5.1,1.1,0.0,0.0,
Candybar Mars,449.0,4.1,70.2,16.6,1.3,0.0,0.0,
Puddingpoeder chocolade instant,370.0,1.0,89.0,1.0,0.5,0.0,0.0,
Vlaai rijste-,211.0,4.5,34.5,6.0,0.7,0.0,0.0,
Siroop vruchtenlimonade- vruchtenmix m rozenbottel,185.0,0.3,45.6,0.0,0.6,0.0,0.0,
Siroop vruchtenlimonade- Roosvicee Fruitkracht Ferro,222.0,0.2,55.2,0.0,0.3,150.0,0.0,stuk
Siroop vruchtenlimonade- Roosvicee Fruitkracht Pruimen,225.0,0.2,56.0,0.0,0.2,150.0,0.0,stuk
Kaas Edammer 40+,324.0,25.5,0.0,24.3,0.0,0.0,0.0,
Kaas Goudse 48+ gem,370.0,22.9,0.0,30.6,0.0,0.0,0.0,
Kaas 20+ Leidse/Friese nagel-,240.0,33.1,0.0,11.9,0.0,60.0,0.0,
Kaas smeer- volvet 48+,260.0,13.4,2.1,21.7,0.5,0.0,0.0,
Kaas smeer- 40+,227.0,16.0,2.0,17.0,0.0,0.0,0.0,
Kaas smeer- 20+,137.0,17.2,1.7,6.8,0.0,0.0,0.0,
Drop zoute,330.0,12.2,68.1,0.2,3.1,0.0,0.0,
Drop dubbelzoute,330.0,12.2,68.1,0.2,3.1,0.0,0.0,
Drop zoete,333.0,7.3,74.6,0.4,1.0,0.0,0.0,
Stophoest,396.0,0.6,98.4,0.0,0.0,0.0,0.0,
Chocolade in krokant suikerlaagje M&M's,487.0,4.6,68.6,20.7,2.7,150.0,0.0,stuk
Candybar Milky Way,448.0,4.0,71.9,15.9,0.6,0.0,0.0,
Candybar Bounty,486.0,3.7,58.3,26.1,1.5,0.0,0.0,
Candybar Snickers,484.0,8.7,60.2,22.9,1.3,8.0,0.0,
Bakmix voor pannenkoeken,322.0,10.6,65.4,1.2,3.8,0.0,0.0,
Bakmix voor poffertjes,337.0,10.0,71.0,1.0,2.0,0.0,0.0,
Pudding chocolade-,112.0,3.4,19.3,2.0,1.3,0.0,0.0,
Cacaopoeder,376.0,4.5,80.6,2.6,6.0,0.0,0.0,
Rabarbermoes m suiker,82.0,0.5,19.0,0.0,2.0,150.0,0.0,stuk
Dessertsaus vruchten-,189.0,0.3,46.3,0.1,0.7,0.0,0.0,
Dessertsaus chocolade-,269.0,2.1,60.8,1.9,0.5,0.0,0.0,
Pindakaas m stukjes pinda,651.0,20.0,15.0,55.0,7.9,0.0,0.0,handje
Noten borrel-,532.0,13.2,43.7,32.7,4.8,0.0,0.0,handje
Saus schaschlik-,109.0,0.8,25.9,0.0,0.9,0.0,0.0,
Topping m suiker opgeklopt Klop-Klop,111.0,3.5,12.5,5.2,0.0,150.0,0.0,stuk
Kaas Camembert 45+,306.0,25.0,0.0,22.8,0.0,0.0,0.0,
Selderij bleek-,14.0,1.0,2.0,0.0,1.1,0.0,0.0,
Selderij knol-,38.0,2.0,5.0,0.0,4.9,0.0,0.0,
Koolraap,30.0,0.7,5.0,0.1,3.0,0.0,0.0,
Koolrabi,31.0,0.9,4.7,0.3,2.8,0.0,0.0,
Postelein,13.0,1.0,1.0,0.0,2.5,60.0,0.0,
Prei,28.0,1.5,3.5,0.2,3.0,60.0,0.0,
Snijbiet,29.0,3.0,3.0,0.0,2.5,0.0,0.0,
Spruitjes,46.0,2.3,5.6,0.7,4.1,150.0,0.0,stuk
Worst knak- blik/glas,201.0,12.0,3.8,15.4,0.1,0.0,0.0,
Worst boterham-,306.0,11.6,3.5,26.9,0.2,0.0,0.0,
Worst bloed-,386.0,12.4,9.5,32.6,2.5,0.0,0.0,
Candybar Nuts,497.0,4.6,62.3,24.8,3.3,0.0,0.0,
Spread sandwich- naturel,235.0,1.6,14.0,19.0,0.8,0.0,0.0,
Salade huzaren-,149.0,2.1,13.7,9.1,2.1,0.0,0.0,
Ketchup hot chilli,101.0,1.2,23.3,0.1,0.8,0.0,0.0,
Ketchup curry-,129.0,0.8,29.9,0.3,1.5,0.0,0.0,
Zemelen tarwe-,286.0,17.4,20.0,5.1,45.0,0.0,0.0,
Ontbijtproduct All-Bran Plus Kellogg's,334.0,14.0,48.0,3.5,27.0,0.0,0.0,
Kaas Brie 50+,318.0,23.0,0.0,25.1,0.0,0.0,0.0,
Cacaoproduct poeder Ovomaltine,370.0,11.2,75.0,1.7,4.9,0.0,0.0,
Knackebrod goudbruin,410.0,12.3,72.3,6.6,5.8,150.0,0.0,stuk
Water 0-50 mg calcium p liter,0.0,0.0,0.0,0.0,0.0,0.0,200.0,glas
Water 50-100 mg calcium p liter,0.0,0.0,0.0,0.0,0.0,0.0,200.0,glas
Water >100 mg calcium p liter,0.0,0.0,0.0,0.0,0.0,0.0,200.0,glas
Olie olijf-,900.0,0.0,0.0,100.0,0.0,0.0,0.0,
Zalm blik,146.0,20.4,0.0,7.2,0.0,0.0,0.0,
Paling gerookt,351.0,19.1,0.0,30.5,0.0,0.0,0.0,
Makreel gestoomd,315.0,19.5,0.5,26.1,0.0,0.0,0.0,
Krentjebrij Bessola,73.0,0.5,17.0,0.1,1.0,0.0,0.0,
Olie Becel Blend Classic,900.0,0.0,0.0,100.0,0.0,0.0,0.0,
Olie saffloer-,900.0,0.0,0.0,100.0,0.0,0.0,0.0,
Olie mais/maiskiem-,900.0,0.0,0.0,100.0,0.0,0.0,0.0,
Nasischijf diepvries gefrituurd in plantaardige olie,298.0,5.8,30.7,16.7,0.7,0.0,0.0,
Bamibal gefrituurd in plantaardige olie,275.0,7.0,30.0,14.0,0.7,0.0,0.0,
Saus sate- kant-en-klaar bereid,247.0,7.5,23.5,13.2,2.4,60.0,0.0,
Zoutje luchtig aardappelbasis Nibb-it,482.0,3.3,65.0,22.5,3.3,135.0,0.0,stuk
Zoutje aardappel- Wokkels,493.0,3.4,69.0,22.0,2.8,135.0,0.0,stuk
Fritessticks gem,522.0,6.5,60.5,27.5,3.3,0.0,0.0,
Pinda's omhuld m chocolade in krokant suikerlaagje M&M's,511.0,9.8,59.1,25.3,3.9,150.0,0.0,handje
Puddingpoeder overige smaken instant,377.0,0.0,94.0,0.0,0.3,0.0,0.0,
Popcorn naturel gepoft z olie,386.0,13.0,72.0,4.0,5.0,0.0,0.0,
Bokkenpootje,454.0,5.5,61.6,20.3,1.5,0.0,0.0,
Koek kokos-,518.0,6.0,53.0,30.8,2.0,0.0,0.0,
Koekje krakeling,497.0,6.7,61.1,24.8,1.3,0.0,0.0,
Koek muesli-,394.0,6.5,54.1,16.1,3.3,0.0,0.0,
Worst cervelaat-,375.0,17.8,1.3,33.0,0.7,0.0,0.0,
Spek ontbijt-,312.0,15.7,0.5,27.5,0.0,0.0,0.0,
Worst lever-,294.0,14.5,1.8,25.3,0.5,0.0,0.0,
Bacon,188.0,18.5,0.5,12.4,0.0,0.0,0.0,
Pate room-,360.0,9.6,5.7,33.0,1.1,0.0,0.0,
Koffie bereid,1.0,0.2,0.1,0.0,0.0,60.0,125.0,kopje
Thee bereid,0.0,0.0,0.0,0.0,0.0,60.0,125.0,kopje
Ontbijtproduct Rice Krispies Kellogg's,383.0,6.0,87.0,1.0,1.0,0.0,0.0,
Kaas huttenkase,92.0,11.2,2.3,3.9,0.0,0.0,0.0,
Beschuit volkoren/meergranen,394.0,14.0,69.0,5.0,8.5,150.0,0.0,stuk
Yoghurtdrank,57.0,1.6,12.0,0.1,0.5,0.0,150.0,bakje
Bonen bruine blik/glas,120.0,6.5,18.0,0.7,7.9,150.0,0.0,stuk
Sap grapefruit-,34.0,0.5,7.3,0.0,0.4,150.0,200.0,stuk
Banaan bak- rijp,138.0,1.3,32.0,0.0,2.3,150.0,0.0,stuk
Cassave,142.0,0.6,33.5,0.2,1.7,0.0,0.0,
Taro,119.0,1.4,26.2,0.2,3.5,0.0,0.0,
Yam,124.0,1.5,28.2,0.3,1.3,0.0,0.0,
Pomtajer,136.0,2.0,31.0,0.0,2.0,0.0,0.0,
Aardappel zoete,91.0,1.2,19.7,0.3,2.4,135.0,0.0,stuk
Agoemawiwiri,60.0,5.0,7.0,1.0,1.4,0.0,0.0,
Amsoi,32.0,2.5,3.2,0.3,3.2,0.0,0.0,
Antroewa,30.0,1.0,6.0,0.0,1.2,0.0,0.0,
Dagoeblad,34.0,3.0,5.0,0.0,1.1,0.0,0.0,
Kaisoi,32.0,3.0,5.0,0.0,0.1,0.0,0.0,
Klaroen,56.0,4.0,7.0,1.0,1.5,0.0,0.0,
Kousenband,43.0,3.0,7.0,0.0,1.3,0.0,0.0,
Okra,23.0,1.9,1.8,0.2,3.2,0.0,0.0,
Poeng,31.0,1.0,6.0,0.0,1.5,0.0,0.0,
Pompoen,14.0,0.7,2.0,0.2,1.0,0.0,0.0,
Sopropo,15.0,1.0,0.9,0.2,2.8,0.0,0.0,
Tajerblad,19.0,2.0,2.0,0.0,1.4,0.0,0.0,
Bonen black eyed gedroogd,367.0,23.0,62.0,2.0,4.4,0.0,0.0,
Erwten split- gele/groene gedroogd,359.0,22.0,61.0,2.0,4.7,0.0,0.0,
Avocado,186.0,2.0,1.8,18.4,3.1,200.0,0.0,stuk
Guave (met roze vruchtvlees),75.0,2.6,10.9,1.0,5.3,0.0,0.0,
Limoen,41.0,0.7,7.7,0.2,2.8,80.0,0.0,
Mango,66.0,0.6,14.3,0.2,1.6,200.0,0.0,stuk
Papaja,39.0,0.5,7.8,0.3,1.7,0.0,0.0,
Tamarinde,301.0,3.0,72.0,0.0,0.3,0.0,0.0,
Meel cassave-,336.0,2.0,81.0,0.0,1.8,0.0,0.0,
Meel mais-,361.0,6.8,75.5,2.8,3.2,0.0,0.0,
Bojo cassavetaart Surinaams,214.0,1.9,31.0,8.6,2.3,0.0,0.0,
Rundvlees Surinaams,201.0,14.5,0.0,15.8,0.2,0.0,0.0,
Rundvlees gedroogd Surinaams,305.0,65.0,0.0,5.0,0.0,0.0,0.0,
Garnalen gedroogd,274.0,63.0,1.0,2.0,0.0,0.0,0.0,
Bakkeljauw (gedroogde kabeljauw),355.0,82.0,0.0,3.0,0.0,0.0,0.0,
Garnalenpasta trassie,208.0,37.0,2.5,5.0,2.7,0.0,0.0,
Rijst zilvervlies-,357.0,8.3,73.5,2.6,3.0,0.0,0.0,
Wafel stroop- gem,473.0,3.8,70.2,19.3,1.6,0.0,0.0,
Kaas blauwschimmel Roquefort,357.0,19.0,0.0,31.0,0.0,0.0,0.0,
Kaas Saint Paulin/Port Salut,341.0,21.5,0.0,28.2,0.0,0.0,0.0,
Chocolade melk- m hazelnoten,562.0,7.7,50.2,35.9,3.7,0.0,200.0,handje
Kaas Parmezaanse,404.0,40.0,0.0,27.0,0.0,0.0,0.0,
Kaas room- zachte Mon Chou,316.0,6.8,2.4,31.0,0.0,0.0,0.0,
Kaas Limburgse,283.0,21.0,2.0,21.0,0.0,0.0,0.0,
Kaas Gruyere,433.0,29.0,1.4,34.5,0.0,0.0,0.0,
Kaas Emmentaler,387.0,29.0,0.0,30.0,0.0,0.0,0.0,
Kaas Cheddar,415.0,25.5,0.1,34.4,0.0,0.0,0.0,
Kaas blauwschimmel Bluefort,405.0,17.9,0.0,37.0,0.0,0.0,0.0,
Bonbon m likeur,383.0,3.3,49.2,16.6,3.6,0.0,0.0,
Kaas room- zachte Boursin,411.0,7.5,3.0,41.0,0.0,0.0,0.0,
Halvanaise,400.0,1.0,9.0,40.0,0.2,0.0,0.0,
Pudding vanille-,89.0,3.9,13.8,2.0,0.0,0.0,0.0,
Aardappelpuree instant- gem bereid,83.0,2.9,14.1,1.5,1.1,135.0,0.0,stuk
Mineraalwater m en z koolzuur gem,0.0,0.0,0.0,0.0,0.0,0.0,200.0,glas
Vlaaivulling blik,99.0,0.5,23.0,0.1,1.3,0.0,0.0,
Marshmallows,329.0,4.6,77.3,0.1,0.2,0.0,0.0,
Drop Engelse,394.0,3.7,82.0,5.2,2.0,0.0,0.0,
Winegum/fruitgom,319.0,5.0,74.2,0.2,0.2,150.0,0.0,stuk
Soep heldere m soepgroente en vermicelli,17.0,0.7,2.5,0.4,0.6,0.0,250.0,kom
Soep heldere m vlees (rund/kip),39.0,4.9,0.3,2.0,0.0,0.0,250.0,kom
Soep heldere m soepgroente,10.0,0.4,1.0,0.3,0.6,0.0,250.0,kom
Soep heldere m vlees (rund/kip) en vermicelli,46.0,5.1,1.9,2.0,0.1,0.0,250.0,kom
Soep heldere m vlees (rund/kip) en soepgroente,36.0,4.1,0.9,1.7,0.5,0.0,250.0,kom
"Soep heldere m vlees (rund/kip), soepgroente en vermicelli",42.0,4.4,2.1,1.7,0.5,0.0,250.0,kom
Soep gebonden m soepgroente,36.0,0.7,2.7,2.4,0.6,0.0,250.0,kom
Soep gebonden m vlees (rund/kip),64.0,4.9,2.1,3.9,0.1,0.0,250.0,kom
Soep maaltijd- m peulvruchten z vlees,58.0,3.3,7.0,1.0,3.8,0.0,250.0,kom
Soep maaltijd- m peulvruchten en vlees,99.0,6.3,9.3,3.3,3.4,0.0,250.0,kom
Mousse chocolade- huishoudelijk bereid,301.0,8.9,27.4,16.8,2.6,150.0,0.0,stuk
Worst thee-,329.0,12.0,0.5,31.0,0.0,0.0,125.0,kopje
Worst paling-,308.0,13.0,4.0,26.6,0.1,0.0,0.0,
Ham achter-,134.0,18.0,2.5,5.7,0.1,0.0,0.0,
Ham schouder-,133.0,16.4,2.4,6.2,0.4,0.0,0.0,
Ragout m vlees,100.0,8.4,3.7,5.7,0.2,0.0,0.0,
Goulash,112.0,10.5,2.5,6.6,0.7,0.0,0.0,
Koek boter-,452.0,4.7,49.0,26.2,1.1,0.0,0.0,
Amandelspijs m ei,446.0,10.3,45.1,24.2,2.9,60.0,0.0,
Soep heldere m vermicelli,15.0,0.5,2.4,0.4,0.1,0.0,250.0,kom
Soep gebonden m vlees (rund/kip) en soepgroente,55.0,2.9,3.2,3.3,0.5,0.0,250.0,kom
Worst incl leverproducten gem,343.0,15.7,2.5,29.9,0.3,0.0,0.0,
Soep op groentebasis bereid pakje,23.0,0.5,3.3,0.8,0.1,60.0,250.0,kom
Soep op vleesbasis bereid pakje,13.0,0.7,2.0,0.2,0.4,60.0,250.0,kom
Soep op peulvruchtenbasis bereid pakje,45.0,2.7,6.2,0.5,2.5,60.0,250.0,kom
Soep op groentebasis kant-en-klaar blik/zak/pak,47.0,1.3,5.7,1.9,0.8,0.0,250.0,kom
Soep op vleesbasis kant-en-klaar blik/zak/pak,25.0,2.0,2.5,0.7,0.2,0.0,250.0,kom
Soep op peulvruchtenbasis kant-en-klaar blik/zak/pak,80.0,4.0,9.5,2.3,3.0,0.0,250.0,kom
Kaas schapen- vers,238.0,17.0,0.0,18.8,0.0,0.0,0.0,
Kruidenbitter Jagermeister,294.0,0.0,14.0,0.0,0.0,150.0,0.0,stuk
Spread fruit- m zoetstof,156.0,0.4,59.2,0.2,1.2,150.0,0.0,stuk
Santen kokoscreme vast,686.0,6.8,12.9,67.3,0.5,0.0,0.0,
Filet americain,240.0,14.2,3.0,18.8,0.9,0.0,0.0,
Pasta volkoren,348.0,13.0,66.0,2.0,6.9,0.0,0.0,
Room zure,134.0,3.0,3.4,12.0,0.0,0.0,0.0,
Schol,76.0,16.4,0.0,1.2,0.0,0.0,0.0,
Vissticks gebakken in zonnebloemolie,239.0,16.4,13.9,13.0,0.4,0.0,0.0,
Vissticks onbereid,194.0,13.0,17.0,8.0,0.8,60.0,0.0,
Schol gebakken,194.0,22.0,2.0,10.9,0.0,0.0,0.0,
Lekkerbekje gefrituurd in plantaardige olie,210.0,19.0,8.2,11.2,0.2,0.0,0.0,
Kabeljauw,75.0,17.5,0.0,0.6,0.0,0.0,0.0,
Bokking bak- gebakken,299.0,21.6,3.0,22.2,0.1,0.0,0.0,
Peper zwarte/witte,332.0,11.0,52.0,3.0,26.4,0.0,0.0,
Mosterd,129.0,6.7,6.6,7.8,3.0,0.0,0.0,
Nootmuskaat,536.0,6.0,45.0,36.0,4.0,0.0,0.0,
Kaneel,316.0,4.0,56.0,3.0,24.4,0.0,0.0,
Komijnzaad gedroogd,427.0,18.0,34.0,22.0,10.5,0.0,0.0,
Kruidnagel,431.0,6.0,52.0,20.0,9.6,150.0,0.0,stuk
Bieslook vers,62.0,4.0,8.0,1.0,2.3,0.0,0.0,
Knoflook,158.0,6.4,31.0,0.5,2.1,3.0,0.0,teentje
Kervel vers,44.0,4.0,3.6,1.0,2.4,0.0,0.0,
Gemberwortel,81.0,1.8,15.7,0.8,2.0,95.0,0.0,stuk
Appelcarre,278.0,3.7,38.6,11.7,1.5,135.0,0.0,stuk
Taart kwark-,218.0,5.5,21.4,12.2,0.5,0.0,125.0,bakje
Koekje zand-,475.0,4.7,52.5,27.0,1.4,0.0,0.0,
Sesamzaad,632.0,22.7,1.8,57.4,8.9,0.0,0.0,
Bonen soja- gedroogd,418.0,35.9,15.8,18.6,22.0,0.0,0.0,
Zout m toegevoegd jodium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Bouillonpoeder,197.0,20.2,17.8,5.1,0.0,150.0,250.0,kom
Broodje worsten- diepvries bereid in oven,369.0,11.0,38.0,19.0,0.9,60.0,0.0,
Dressing naturel z olie,32.0,0.0,7.9,0.0,0.0,0.0,0.0,
Candybar Twix,495.0,4.5,64.6,23.9,1.5,0.0,0.0,
Gierst,370.0,11.0,71.0,4.0,3.0,0.0,0.0,
Grapefruit op siroop blik/glas,66.0,0.5,15.5,0.0,0.9,150.0,0.0,stuk
Venkel,17.0,1.0,2.0,0.0,2.4,0.0,0.0,
Groente zoetzuur atjar tjampoer glas,42.0,1.0,7.6,0.2,2.4,0.0,0.0,
Paprika zoetzuur glas,16.0,0.9,2.0,0.1,1.7,150.0,0.0,stuk
Salade selderij- lunch/borrel,206.0,1.0,9.1,17.6,3.2,0.0,0.0,
Gado gado z rijst en z ei,103.0,3.7,5.1,7.0,2.3,60.0,0.0,
Taart vruchten- v biscuitdeeg m slagroom,228.0,3.1,21.7,14.1,0.7,150.0,0.0,stuk
Speculaas gevulde,436.0,7.3,47.0,23.9,1.8,0.0,0.0,
Rosti onbereid,123.0,2.5,21.5,2.5,2.2,60.0,0.0,
Madeira,166.0,0.0,10.0,0.0,0.0,60.0,0.0,
Juspoeder,342.0,10.8,55.2,8.2,2.4,0.0,200.0,
Aroma vloeibaar,70.0,10.6,6.4,0.1,0.5,60.0,0.0,
Aroma strooi-,176.0,9.9,25.0,3.9,0.6,0.0,0.0,
Sap bieten-,34.0,0.9,7.7,0.0,0.0,0.0,200.0,
Milkshake m vers fruit,97.0,2.4,17.2,1.9,0.4,150.0,0.0,stuk
Yoghurt vruchten- volle,97.0,3.7,12.7,3.1,0.6,0.0,150.0,bakje
Sate kip- m saus bereid,175.0,13.1,9.1,9.3,1.2,60.0,0.0,
Fruitgom pectine gesuikerd,341.0,0.3,84.2,0.3,0.7,150.0,0.0,stuk
Lijnzaad,477.0,19.0,13.0,31.0,34.8,0.0,0.0,
Meel soja- ontvet,372.0,50.0,30.0,2.5,14.5,0.0,0.0,
Meel soja- volvet,478.0,38.0,24.0,23.0,11.5,0.0,0.0,
Drink soja- z suiker,35.0,3.4,1.0,1.8,0.6,150.0,0.0,stuk
Sojapasta miso,130.0,11.7,6.2,5.0,6.6,0.0,0.0,
Zonnebloempitten,647.0,18.0,13.0,56.5,7.4,0.0,0.0,
Biscuit meergranen- Liga Evergreen krenten,390.0,6.9,67.0,9.1,6.3,150.0,0.0,stuk
Appel m schil gem,56.0,0.3,12.0,0.2,2.0,135.0,0.0,stuk
Pinda's,620.0,24.8,13.2,50.5,6.8,0.0,0.0,handje
Croissants uit blik afgebakken,420.0,7.0,46.0,22.6,2.5,150.0,0.0,stuk
Boter,737.0,0.7,1.1,81.2,0.0,0.0,0.0,
Smeltjus onbereid pakje,650.0,1.0,4.0,70.0,0.0,60.0,200.0,
Kaas Kernhemmer 60+,443.0,18.6,0.0,40.6,0.0,0.0,0.0,
Kaas Old Amsterdam 48+,404.0,26.0,0.0,33.0,0.0,0.0,0.0,
Paprika rode,25.0,0.8,4.3,0.1,1.8,150.0,0.0,stuk
Sate varkens- m saus bereid,158.0,11.9,9.3,7.9,1.2,60.0,0.0,
Pasteibakje roomboter-,570.0,8.9,43.4,39.6,2.4,60.0,0.0,
Pasteibakje z roomboter,566.0,8.4,43.9,39.1,2.5,60.0,0.0,
Broodje worsten-,382.0,11.8,34.2,21.8,0.9,0.0,0.0,
Soepballetjes blik,189.0,10.0,3.5,15.0,0.2,0.0,250.0,kom
Pudding frambozen- m rode bessensaus,104.0,3.4,17.6,2.2,0.0,4.0,0.0,
Kwark vruchten- halfvolle,109.0,5.9,12.8,3.5,0.8,0.0,125.0,bakje
Broccoli,27.0,2.9,0.7,0.7,3.1,0.0,0.0,
Courgette,18.0,1.3,2.3,0.2,0.9,0.0,0.0,
Sap peren-,39.0,0.1,9.5,0.0,0.1,0.0,200.0,
Koek ontbijt- volkoren,308.0,3.1,67.7,1.7,4.5,0.0,0.0,
Kaas 20+ natriumarm,264.0,36.7,0.0,13.0,0.0,0.0,0.0,
Kaas 40+ natriumarm,339.0,29.4,0.0,24.6,0.0,0.0,0.0,
Chocolade melk- suikervrij,485.0,7.1,47.8,34.7,6.7,150.0,200.0,glas
Wijn pleegzusterbloed-,154.0,0.0,14.0,0.0,0.0,0.0,150.0,glas
Kwark vruchten- magere,80.0,8.6,10.3,0.2,0.3,0.0,125.0,bakje
Pudding griesmeel- m rode bessensaus,113.0,2.8,20.5,2.2,0.1,0.0,0.0,
Pudding vanille- m aardbeiensaus,112.0,4.1,18.8,2.3,0.0,12.0,0.0,stuk
Bitterbal bereid in oven,302.0,11.0,23.0,18.0,1.9,60.0,0.0,
Kroket vlees- bereid in oven,204.0,8.9,20.9,9.0,1.9,60.0,0.0,
Rosti bereid z vet,149.0,1.9,22.8,5.1,2.2,60.0,0.0,
Gist vers,66.0,11.4,1.0,0.4,6.2,0.0,0.0,
Kool boeren-,33.0,3.0,1.6,0.6,4.7,0.0,0.0,
Knackebrod sesam,421.0,12.8,67.8,9.8,5.1,0.0,0.0,
Knackebrod lichtgewicht,334.0,10.0,59.0,1.5,22.0,0.0,0.0,
Sportvoeding reep Isostar Energy Bar,399.0,5.0,72.5,9.3,3.0,0.0,0.0,
Soep op groentebasis natriumarm bereid,22.0,0.8,4.0,0.2,0.7,60.0,250.0,kom
Granaatappel,91.0,1.0,17.0,1.0,3.4,135.0,0.0,stuk
Toetje m room,105.0,2.5,15.3,3.8,0.2,0.0,0.0,
Vijgen vers,84.0,1.0,19.0,0.0,2.0,0.0,0.0,
Roggebrood volkoren natriumarm,201.0,5.6,37.6,1.3,8.3,0.0,0.0,
Paneermeel,378.0,13.0,71.3,3.5,4.6,0.0,0.0,
Tarwe gebroken bulgur,340.0,12.3,63.4,1.3,12.5,0.0,0.0,
Tarweroggebrood volkoren,234.0,9.7,40.9,1.9,7.2,0.0,0.0,
Vlokken rogge- geplet,352.0,12.0,69.0,2.0,5.0,0.0,0.0,
Grutten boekweit-,357.0,8.0,74.0,2.0,5.6,60.0,0.0,
Meel bak- zelfrijzend,339.0,10.3,71.0,1.1,2.0,0.0,0.0,
Artisjok,49.0,2.0,9.5,0.0,1.5,0.0,0.0,
Beschuit natriumarm,399.0,14.0,71.0,6.0,2.3,150.0,0.0,stuk
Bloem rijste- Olvarit,385.0,7.8,85.6,1.2,0.5,0.0,0.0,
Gort vlug-,355.0,8.0,77.0,1.0,3.0,0.0,0.0,
Gist gedroogd,390.0,48.0,36.0,6.0,0.0,0.0,0.0,
Kiwi groene,62.0,0.9,10.8,0.8,2.3,75.0,0.0,stuk
Kaki / Sharonvrucht,77.0,0.5,18.6,0.0,0.5,0.0,0.0,
Glucosepoeder,364.0,0.0,91.0,0.0,0.0,0.0,0.0,
Orisel-Junior p 100 ml Nutricia,9.0,0.0,2.2,0.0,0.0,0.0,0.0,
Orisel p 100 ml Nutricia,9.0,0.0,2.2,0.0,0.0,0.0,0.0,
Passievrucht,52.0,2.6,5.7,0.4,3.3,0.0,0.0,
Kefir,40.0,3.5,3.1,1.5,0.0,0.0,0.0,
Sla mol-,55.0,3.0,8.0,1.0,1.2,0.0,0.0,
Lychee,72.0,0.9,16.1,0.1,1.0,0.0,0.0,
Pate/smeerworst vegetarisch obv voedingsgist,218.0,4.6,9.3,17.5,2.8,0.0,0.0,
Zalm gerookt,188.0,21.8,0.8,10.8,0.0,0.0,0.0,
Kaviaar,281.0,24.0,0.0,20.5,0.0,0.0,0.0,
Inktvis,73.0,16.0,0.0,1.0,0.0,0.0,0.0,
Kumquat,52.0,0.9,9.1,0.5,3.8,0.0,0.0,
Haring in (zoet)zuur,208.0,16.0,0.0,16.0,0.0,0.0,0.0,
Slakken wijngaard-,85.0,16.0,2.0,1.4,0.0,0.0,150.0,glas
Kaas rook- 45+,331.0,21.2,1.8,26.2,0.1,0.0,0.0,
Meloen water-,36.0,0.5,8.0,0.0,0.6,0.0,200.0,glas
Meloen suiker-,30.0,0.9,6.3,0.0,0.6,150.0,0.0,stuk
Kaas Rambol,291.0,13.6,2.3,25.0,0.7,0.0,0.0,
Kaas smeer- 60+ Kiri,330.0,8.5,2.0,32.0,0.0,0.0,0.0,
Kaas Stilton,388.0,21.3,0.1,33.4,0.0,0.0,0.0,
Kaas Camembert 30+,223.0,24.0,0.0,14.0,0.0,0.0,0.0,
Kaas melkse 48+,392.0,26.0,0.0,32.0,0.0,0.0,200.0,glas
Kaas 48+ natriumarm,381.0,26.1,0.0,30.7,0.0,0.0,0.0,
Meloen op siroop blik/glas,80.0,0.5,19.0,0.0,1.0,0.0,0.0,
Puree aardbeien- blik/glas,84.0,0.5,20.0,0.0,0.9,12.0,0.0,stuk
Doperwten extra fijn natriumarm blik/glas,51.0,4.0,6.5,0.0,4.7,0.0,0.0,
Sap citroen- vers,47.0,0.4,8.0,0.0,0.3,120.0,200.0,
Sap tomatengroenten-,21.0,1.0,4.0,0.0,0.4,0.0,200.0,
Champignon natriumarm blik/glas,18.0,2.1,0.2,0.4,2.8,0.0,0.0,
Kruidenbitter Berenburg,189.0,0.0,0.0,0.0,0.0,150.0,0.0,stuk
Andijvie diepvries onbereid,9.0,1.0,0.3,0.0,1.7,60.0,0.0,
Doperwten m wortelen diepvries onbereid,58.0,3.8,7.1,0.4,5.2,95.0,0.0,stuk
Groente erwtensoep- diepvries onbereid,17.0,2.0,1.0,0.0,2.6,60.0,250.0,kom
Groentemix Mexico Melange diepvries onbereid,85.0,4.5,12.0,0.9,5.3,60.0,0.0,
Bonen snij- diepvries onbereid,28.0,1.9,3.6,0.1,2.7,60.0,0.0,
