naam,calorieen,eiwitten,koolhydraten,vetten,vezels,gewicht_per_stuk,ml_per_portie,standaard_eenheid
Doperwten zeer fijn/extra fijn blik/glas,78.0,5.6,9.9,0.8,4.5,0.0,0.0,
Doperwten m wortelen blik/glas,56.0,3.4,7.0,0.5,4.8,95.0,0.0,stuk
Olijven groen in water blik/glas,113.0,0.9,0.5,11.0,4.0,0.0,200.0,glas
Bonen snij- blik/glas,20.0,1.1,2.3,0.3,2.1,0.0,0.0,
Sperziebonen,26.0,1.6,2.9,0.3,2.6,0.0,0.0,
Spinazie blik/glas,31.0,3.2,1.3,0.9,3.0,0.0,0.0,
Puree tomaten- geconcentreerd blik,87.0,4.5,15.5,0.0,3.7,0.0,0.0,
Bonen tuin- blik/glas,73.0,5.8,8.5,0.6,5.3,150.0,0.0,stuk
Wortel blik/glas,29.0,0.7,5.3,0.2,1.8,95.0,0.0,stuk
Ui zilver- zoetzuur glas,34.0,0.6,6.9,0.1,1.4,150.0,0.0,stuk
Kool rode blik/glas,40.0,0.8,7.9,0.2,2.0,0.0,0.0,
Appel z schil gem,55.0,0.2,12.0,0.1,1.6,135.0,0.0,stuk
Aardbeien,29.0,0.7,5.1,0.0,1.1,12.0,0.0,stuk
Abrikozen m schil,44.0,0.9,8.0,0.1,1.7,40.0,0.0,
Ananas,54.0,0.5,12.0,0.1,1.6,0.0,0.0,
Banaan,92.0,1.1,20.0,0.3,1.9,150.0,0.0,stuk
Bessen blauwe,52.0,0.7,11.0,0.0,2.4,0.0,0.0,
Bessen rode,36.0,1.1,4.4,0.0,3.4,0.0,0.0,
Bessen zwarte,53.0,0.9,8.0,0.0,3.6,0.0,0.0,
Bessen bos-,30.0,0.6,6.0,0.0,1.8,0.0,0.0,
Bessen vossen-,57.0,0.8,8.8,1.2,3.7,0.0,0.0,
Bramen,37.0,0.9,5.1,0.2,3.1,5.0,0.0,
Citroen,36.0,0.8,3.0,0.3,2.0,120.0,0.0,
Cranberry vers,24.0,0.4,3.4,0.1,3.6,0.0,0.0,
Druiven m schil gem,78.0,0.6,16.8,0.2,1.8,5.0,0.0,stuk
Frambozen,37.0,1.4,4.5,0.3,2.5,4.0,0.0,
Grapefruit,37.0,0.9,6.6,0.0,1.4,150.0,0.0,stuk
Kersen zoete,57.0,0.9,11.5,0.4,0.9,8.0,0.0,
Bessen kruis-,49.0,0.9,9.0,0.0,2.4,150.0,0.0,stuk
Mandarijn,46.0,0.7,9.9,0.1,0.9,100.0,0.0,stuk
Meloen net-,27.0,0.5,6.0,0.0,0.4,0.0,0.0,
Kersen zure,52.0,1.0,11.0,0.0,2.1,8.0,0.0,
Peer z schil,53.0,0.3,11.7,0.2,1.6,140.0,0.0,stuk
Perzik z schil,41.0,1.0,7.9,0.0,1.4,150.0,0.0,
Pruimen m schil,40.0,0.8,7.3,0.0,2.2,150.0,0.0,stuk
Sinaasappel,48.0,0.8,7.9,1.0,2.0,130.0,200.0,stuk
Fruit vers citrus- gem,48.0,0.8,8.9,0.5,1.4,150.0,0.0,stuk
Fruit vers excl citrus- gem,63.0,0.7,13.5,0.2,1.8,150.0,0.0,stuk
Aardbeien op siroop blik/glas,71.0,0.5,16.9,0.0,0.9,12.0,0.0,stuk
Abrikozen gedroogd,285.0,5.0,59.0,0.0,14.4,40.0,0.0,
Abrikozen op siroop blik/glas,69.0,0.4,16.1,0.1,1.2,40.0,0.0,
Ananas op siroop blik/glas,69.0,0.3,16.1,0.1,1.0,0.0,0.0,
Appeltjes gedroogd,292.0,2.0,65.0,0.5,9.6,135.0,0.0,stuk
Appelmoes blik/glas,76.0,0.2,17.6,0.1,1.9,135.0,0.0,stuk
Bessen bos- op siroop blik/glas,66.0,0.3,15.1,0.3,1.0,0.0,0.0,
Dadels gedroogd,305.0,2.0,70.5,0.0,7.5,0.0,0.0,
Frambozen op siroop blik/glas,71.0,0.5,15.7,0.3,1.5,4.0,0.0,
Fruitcocktail op siroop blik/glas,75.0,0.4,17.3,0.0,2.0,150.0,0.0,stuk
Kersen op siroop blik/glas,63.0,0.6,14.2,0.3,0.5,8.0,0.0,
Krenten gedroogd,326.0,2.0,75.0,0.0,9.0,0.0,0.0,
Mandarijnen op siroop blik/glas,59.0,0.5,14.0,0.0,0.3,100.0,0.0,stuk
Peren gedroogd,287.0,2.0,65.0,0.0,9.6,0.0,0.0,
Peren op siroop blik/glas,64.0,0.3,14.7,0.0,2.0,0.0,0.0,
Perziken op siroop blik/glas,62.0,0.4,14.6,0.0,1.0,150.0,0.0,
Pruimen gedroogd,199.0,1.6,47.9,0.4,5.1,150.0,0.0,stuk
Pruimen op siroop blik/glas,65.0,0.3,15.5,0.0,1.0,150.0,0.0,stuk
Tuttifrutti gedroogd,256.0,2.7,56.1,0.3,9.0,0.0,0.0,
Vijgen gedroogd,259.0,3.3,54.1,0.9,9.8,0.0,0.0,
Vruchten op siroop gem blik/glas,65.0,0.3,15.0,0.1,1.5,0.0,0.0,
Babyvoeding fruit 8 mnd,74.0,0.6,17.1,0.1,1.2,150.0,0.0,stuk
Kapucijners blik/glas,108.0,7.1,14.8,0.8,6.5,0.0,0.0,
Bonen witte in tomatensaus blik/glas,101.0,5.7,15.2,0.6,6.1,0.0,0.0,
Noten amandelen z vliesje,631.0,21.7,7.1,55.8,7.0,0.0,0.0,handje
Noten cashew-,615.0,21.2,20.8,48.9,3.8,0.0,0.0,handje
Noten hazel-,670.0,16.4,4.8,63.0,9.0,0.0,0.0,handje
Kastanje,189.0,4.0,35.0,2.7,4.1,0.0,0.0,
Kokosnootvlees,406.0,4.0,3.0,40.0,9.0,0.0,0.0,
Noten para-,687.0,14.3,2.6,67.1,7.5,0.0,0.0,handje
Pinda's,627.0,25.2,11.8,51.7,6.8,0.0,0.0,handje
Studentenhaver,496.0,11.0,38.0,32.1,5.6,0.0,0.0,
Walnoten,706.0,15.9,5.1,68.1,4.6,0.0,0.0,handje
Noten gemengd,658.0,18.1,8.9,59.6,6.7,0.0,0.0,handje
Meel boekweit-,353.0,9.0,72.0,2.0,5.6,60.0,0.0,
Ontbijtproduct Cornflakes Kellogg's,378.0,7.0,84.0,0.9,3.0,0.0,0.0,
Custardpoeder,350.0,0.3,87.0,0.1,0.0,0.0,0.0,
Mout gorte-,332.0,10.0,65.0,2.0,7.2,0.0,0.0,
Gort parel-,339.0,9.0,67.0,2.0,8.6,0.0,0.0,
Mout haver-,373.0,12.8,60.7,7.3,7.3,0.0,0.0,
Mais pof- gedroogd,374.0,11.0,71.0,4.0,5.0,0.0,0.0,
Maizena,353.0,0.0,88.0,0.1,0.0,0.0,0.0,
Puddingpoeder,341.0,0.0,85.0,0.0,0.5,0.0,0.0,
Bloem rogge- 60% uitmaling,343.0,8.0,73.0,1.0,5.0,150.0,0.0,stuk
Meel rogge-,328.0,10.0,60.2,2.0,14.8,0.0,0.0,
Tapioca,322.0,0.0,80.0,0.0,0.9,0.0,0.0,
Bloem tarwe- patent,335.0,10.4,69.0,1.2,3.2,0.0,0.0,
Meel volkoren tarwe-,330.0,14.4,58.4,2.0,10.3,0.0,0.0,
Bindmiddel gem,335.0,10.0,69.5,1.2,3.1,0.0,0.0,
Ontbijtproduct Olvarit pap fijne granen 6+ mnd,367.0,12.4,69.6,2.1,10.0,0.0,0.0,
Ontbijtproduct Brinta,344.0,11.0,65.0,2.1,10.5,0.0,0.0,
Meel aardappelzetmeel,320.0,0.0,80.0,0.0,0.0,135.0,0.0,stuk
Beschuit naturel,408.0,14.1,76.1,4.7,2.8,150.0,0.0,stuk
Cracker cream-,448.0,9.1,68.8,14.5,3.0,0.0,0.0,
Knackebrod gem,376.0,11.6,63.6,5.6,12.7,0.0,0.0,
Tarwebroodje wit zacht,262.0,9.7,45.9,3.6,3.8,0.0,0.0,
Kiemen tarwe-,393.0,31.0,37.0,9.9,16.0,0.0,0.0,
Broodje koffie-,349.0,5.8,48.4,14.1,2.7,0.0,125.0,kopje
Tarwekrentenbrood wit,273.0,7.8,53.3,2.4,3.3,0.0,0.0,
Biscuit baby- Liga Baby 6-12 mnd,394.0,6.5,73.5,7.6,2.9,150.0,0.0,stuk
Biscuit dreumes- Liga Kind 12-36 mnd,411.0,8.5,71.0,9.4,4.2,150.0,0.0,stuk
Tarwebrood bruin,236.0,9.8,42.9,1.7,5.0,150.0,0.0,stuk
Cracker Matzes,376.0,11.0,78.8,1.0,4.0,0.0,0.0,
Koek ontbijt-,308.0,3.0,69.5,1.2,3.6,0.0,0.0,
Tarwebrood wit melk,257.0,9.6,47.9,2.4,2.6,0.0,200.0,glas
Roggebrood volkoren,193.0,5.6,35.6,1.3,8.3,0.0,0.0,
Roggetarwebrood bruin,233.0,8.2,42.8,1.5,7.7,150.0,0.0,stuk
Tarwerozijnenbrood wit,272.0,7.7,52.2,2.7,4.0,0.0,0.0,
Tarwebrood volkoren gem v fijn en grof,234.0,11.1,39.0,2.3,6.7,0.0,0.0,
Tarwebrood wit water,247.0,9.0,47.8,1.6,2.5,0.0,200.0,glas
Tarwemoutbrood bruin,249.0,9.4,46.6,1.9,4.0,150.0,0.0,stuk
Broodje amandel- (v bladerdeeg),391.0,7.0,38.1,23.0,1.8,0.0,0.0,
Taart appel- v zandtaartdeeg z roomboter,225.0,3.4,31.6,9.0,1.5,135.0,0.0,stuk
Biscuit,437.0,7.6,75.5,11.0,2.5,150.0,0.0,stuk
Cake z roomboter,394.0,5.7,42.2,22.4,0.8,0.0,0.0,
Koek eier-,303.0,6.0,66.0,1.5,1.2,60.0,0.0,
Taart slagroom-,316.0,4.6,31.4,18.9,0.8,0.0,0.0,
Taart creme au beurre-,430.0,3.7,43.8,26.6,0.3,0.0,0.0,
