naam,calorieen,eiwitten,koolhydraten,vetten,vezels,gewicht_per_stuk,ml_per_portie,standaard_eenheid
Druiven m schil gem,78,"0,6","16,8","0,2","1,8",5.0,0,stuk
Frambozen,37,"1,4","4,5","0,3","2,5",4.0,0,
Grapefruit,37,"0,9","6,6",0,"1,4",150.0,0,stuk
Kersen zoete,57,"0,9","11,5","0,4","0,9",8.0,0,
Bessen kruis-,49,"0,9",9,0,"2,4",150.0,0,stuk
Mandarijn,46,"0,7","9,9","0,1","0,9",100.0,0,stuk
Meloen net-,27,"0,5",6,0,"0,4",0.0,0,
Kersen zure,52,1,11,0,"2,1",8.0,0,
Peer z schil,53,"0,3","11,7","0,2","1,6",140.0,0,stuk
Perzik z schil,41,1,"7,9",0,"1,4",150.0,0,
Pruimen m schil,40,"0,8","7,3",0,"2,2",150.0,0,stuk
Sinaasappel,48,"0,8","7,9",1,2,130.0,200,stuk
Fruit vers citrus- gem,48,"0,8","8,9","0,5","1,4",150.0,0,stuk
Fruit vers excl citrus- gem,63,"0,7","13,5","0,2","1,8",150.0,0,stuk
Aardbeien op siroop blik/glas,71,"0,5","16,9",0,"0,9",12.0,0,stuk
Abrikozen gedroogd,285,5,59,0,"14,4",40.0,0,
Abrikozen op siroop blik/glas,69,"0,4","16,1","0,1","1,2",40.0,0,
Ananas op siroop blik/glas,69,"0,3","16,1","0,1",1,0.0,0,
Appeltjes gedroogd,292,2,65,"0,5","9,6",135.0,0,stuk
Appelmoes blik/glas,76,"0,2","17,6","0,1","1,9",135.0,0,stuk
Bessen bos- op siroop blik/glas,66,"0,3","15,1","0,3",1,0.0,0,
Dadels gedroogd,305,2,"70,5",0,"7,5",0.0,0,
Frambozen op siroop blik/glas,71,"0,5","15,7","0,3","1,5",4.0,0,
Fruitcocktail op siroop blik/glas,75,"0,4","17,3",0,2,150.0,0,stuk
Kersen op siroop blik/glas,63,"0,6","14,2","0,3","0,5",8.0,0,
Krenten gedroogd,326,2,75,0,9,0.0,0,
Mandarijnen op siroop blik/glas,59,"0,5",14,0,"0,3",100.0,0,stuk
Peren gedroogd,287,2,65,0,"9,6",0.0,0,
Peren op siroop blik/glas,64,"0,3","14,7",0,2,0.0,0,
Perziken op siroop blik/glas,62,"0,4","14,6",0,1,150.0,0,
Pruimen gedroogd,199,"1,6","47,9","0,4","5,1",150.0,0,stuk
Pruimen op siroop blik/glas,65,"0,3","15,5",0,1,150.0,0,stuk
Tuttifrutti gedroogd,256,"2,7","56,1","0,3",9,0.0,0,
Vijgen gedroogd,259,"3,3","54,1","0,9","9,8",0.0,0,
Vruchten op siroop gem blik/glas,65,"0,3",15,"0,1","1,5",0.0,0,
Babyvoeding fruit 8 mnd,74,"0,6","17,1","0,1","1,2",150.0,0,stuk
Kapucijners blik/glas,108,"7,1","14,8","0,8","6,5",0.0,0,
Bonen witte in tomatensaus blik/glas,101,"5,7","15,2","0,6","6,1",0.0,0,
Noten amandelen z vliesje ongezouten,631,"21,7","7,1","55,8",7,0.0,0,handje
Noten cashew- ongezouten,615,"21,2","20,8","48,9","3,8",0.0,0,handje
Noten hazel- ongezouten,670,"16,4","4,8",63,9,0.0,0,handje
Kastanje,189,4,35,"2,7","4,1",0.0,0,
Kokosnootvlees,406,4,3,40,9,0.0,0,
Noten para- ongezouten,687,"14,3","2,6","67,1","7,5",0.0,0,handje
Pinda's ongezouten,627,"25,2","11,8","51,7","6,8",0.0,0,handje
Studentenhaver,496,11,38,"32,1","5,6",0.0,0,
Walnoten,706,"15,9","5,1","68,1","4,6",0.0,0,handje
Noten gemengd ongezouten,658,"18,1","8,9","59,6","6,7",0.0,0,handje
Meel boekweit-,353,9,72,2,"5,6",0.0,0,
Ontbijtproduct Cornflakes Kellogg's,378,7,84,"0,9",3,0.0,0,
Custardpoeder,350,"0,3",87,"0,1",0,0.0,0,
Mout gorte-,332,10,65,2,"7,2",0.0,0,
Gort parel-,339,9,67,2,"8,6",0.0,0,
Mout haver-,373,"12,8","60,7","7,3","7,3",0.0,0,
Mais pof- gedroogd,374,11,71,4,5,0.0,0,
Maizena,353,0,88,"0,1",0,0.0,0,
Puddingpoeder,341,0,85,0,"0,5",0.0,0,
Bloem rogge- 60% uitmaling,343,8,73,1,5,150.0,0,stuk
Meel rogge-,328,10,"60,2",2,"14,8",0.0,0,
Tapioca,322,0,80,0,"0,9",0.0,0,
Bloem tarwe- patent,335,"10,4",69,"1,2","3,2",0.0,0,
Meel volkoren tarwe-,330,"14,4","58,4",2,"10,3",0.0,0,
Bindmiddel gem,335,10,"69,5","1,2","3,1",0.0,0,
Ontbijtproduct Olvarit pap fijne granen 6+ mnd,367,"12,4","69,6","2,1",10,0.0,0,
Ontbijtproduct Brinta,344,11,65,"2,1","10,5",0.0,0,
Meel aardappelzetmeel,320,0,80,0,0,135.0,0,stuk
Beschuit naturel,408,"14,1","76,1","4,7","2,8",150.0,0,stuk
Cracker cream-,448,"9,1","68,8","14,5",3,0.0,0,
Knackebrod gem,376,"11,6","63,6","5,6","12,7",0.0,0,
Tarwebroodje wit zacht,262,"9,7","45,9","3,6","3,8",0.0,0,
Kiemen tarwe-,393,31,37,"9,9",16,0.0,0,
Broodje koffie-,349,"5,8","48,4","14,1","2,7",0.0,125,kopje
Tarwekrentenbrood wit,273,"7,8","53,3","2,4","3,3",0.0,0,
Biscuit baby- Liga Baby 6-12 mnd,394,"6,5","73,5","7,6","2,9",150.0,0,stuk
Biscuit dreumes- Liga Kind 12-36 mnd,411,"8,5",71,"9,4","4,2",150.0,0,stuk
Tarwebrood bruin,236,"9,8","42,9","1,7",5,150.0,0,stuk
Cracker Matzes,376,11,"78,8",1,4,0.0,0,
Koek ontbijt-,308,3,"69,5","1,2","3,6",0.0,0,
Tarwebrood wit melk,257,"9,6","47,9","2,4","2,6",0.0,200,glas
Roggebrood volkoren,193,"5,6","35,6","1,3","8,3",0.0,0,
Roggetarwebrood bruin,233,"8,2","42,8","1,5","7,7",150.0,0,stuk
Tarwerozijnenbrood wit,272,"7,7","52,2","2,7",4,0.0,0,
Tarwebrood volkoren gem v fijn en grof,234,"11,1",39,"2,3","6,7",0.0,0,
Tarwebrood wit water,247,9,"47,8","1,6","2,5",0.0,200,glas
Tarwemoutbrood bruin,249,"9,4","46,6","1,9",4,150.0,0,stuk
Broodje amandel- (v bladerdeeg),391,7,"38,1",23,"1,8",0.0,0,
Taart appel- v zandtaartdeeg z roomboter,225,"3,4","31,6",9,"1,5",135.0,0,stuk
Biscuit,437,"7,6","75,5",11,"2,5",150.0,0,stuk
Cake z roomboter,394,"5,7","42,2","22,4","0,8",0.0,0,
Koek eier-,303,6,66,"1,5","1,2",0.0,0,
Taart slagroom-,316,"4,6","31,4","18,9","0,8",0.0,0,
Taart creme au beurre-,430,"3,7","43,8","26,6","0,3",0.0,0,
Koek gevulde gem,411,"6,4","59,9","15,8",2,0.0,0,
Koekje gem,475,"5,7","65,1","20,7","2,6",0.0,0,
Kokosmakronen,455,4,59,"21,2","5,9",0.0,0,
Lange vingers,402,"7,2","84,8","3,5",1,0.0,0,
Speculaas gem,469,5,"65,1","20,3",3,0.0,0,
Sprits m roomboter,489,"4,9","49,6","29,8","1,3",0.0,0,
Biscuit tarwe-/volkoren-,459,"7,8","70,7","14,9","5,5",150.0,0,stuk
Biscuit zoute,472,"8,1","56,7",23,"2,6",150.0,0,stuk
"Bladerdeeg z roomboter, bereid",614,7,40,47,"1,4",0.0,0,
Broodje saucijzen-,356,"7,2","28,5","23,4","1,4",0.0,0,
Pepsels,382,"11,9","69,5","5,3","4,2",0.0,0,
Kroepoek naturel,516,"3,5",62,28,1,0.0,0,
Melk e,71,"3,4","4,4","4,4",0,0.0,200,glas
Melk koffie- Becel,112,"7,1",11,"4,4",0,0.0,125,kopje
Melk chocolade- volle,82,"3,3","10,7","2,8","0,5",0.0,200,glas
Melk chocolade- magere,62,"3,3","11,4","0,3","0,5",0.0,200,glas
Creamer koffie-,560,"2,1","58,4","35,3",0,0.0,125,kopje
Vla chocolade- volle,88,"2,4","13,4","2,6","0,8",0.0,0,
Yoghurt volle,56,"3,8","3,4","2,7",0,0.0,150,bakje
Melk volle,61,"3,3","4,5","3,4",0,0.0,200,glas
Melk koffie- volle,145,"7,5","11,4","7,7",0,0.0,125,kopje
Melk gecondenseerde m suiker,330,"8,1","54,7","8,8",0,150.0,200,glas
Vla vanille- volle,86,"2,3","12,8","2,8","0,4",0.0,0,
Yoghurt vruchten- magere,67,3,"12,4","0,2","0,6",0.0,150,bakje
Melk koffie- halfvolle,110,7,"11,2","4,1",0,0.0,125,kopje
Melk halfvolle,45,"3,4","4,7","1,4",0,0.0,200,glas
Pap havermout- bereid m volle melk ongezoet,95,"4,3","10,5","3,8","0,8",0.0,200,glas
Melk karne-,30,3,"3,6","0,2",0,0.0,200,glas
Pap karnemelkse bloem-,52,"3,7","7,8","0,5","0,1",0.0,200,glas
Topping m suiker poeder Klop-Klop,535,"4,4","63,4","29,3",0,150.0,0,stuk
Melk koffie- magere,57,"9,9","4,3",0,0,0.0,125,kopje
Room koffie-,210,"3,3","3,8","20,2",0,0.0,125,kopje
Melk magere,35,"3,7","4,9","0,1",0,0.0,200,glas
Melkpoeder magere,349,"35,4","50,5","0,6",0,0.0,200,glas
Melkpoeder volle,478,"23,9",37,26,0,0.0,200,glas
Melk moeder-,66,"1,1","7,4","3,5",0,0.0,200,glas
Pap rijste-,86,"3,1",12,"2,9","0,1",0.0,0,
